paddler,location,local.time,latitude,longitude,image.filename,image.quality,est.cam.height,substrate,eelgrass.present,braun.blanquet,rockweed.present,image.coder,notes,checked
Kristina Boerder,Owls Head,10-08-2020 11:57:46,44.70872004,-62.84138672,G0164216.JPG,3,2,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:57:56,44.70872164,-62.84138757,G0164217.JPG,3,2,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:03,44.70875038,-62.84136003,G0164218.JPG,3,2,mixed,0,0,1,JT,actual time 58:06,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:14,44.70876504,-62.84137838,G0164219.JPG,3,2,mixed,0,0,1,JT,actual time 58:16,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:27,44.70870999,-62.84138807,G0164220.JPG,3,2,soft,0,0,0,JT,actual time 58:26,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:36,44.70869756,-62.8414172,G0164221.JPG,3,2,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:46,44.70869065,-62.8414123,G0164222.JPG,3,2,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:58:56,44.70865572,-62.84141517,G0164223.JPG,3,2,mixed,0,0,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:06,44.7086131,-62.84138464,G0164224.JPG,3,2,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:16,44.70854761,-62.84137508,G0164225.JPG,3,2,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:26,44.70846709,-62.8413738,G0164226.JPG,3,2,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:27,44.70846133,-62.84138111,G0164226.JPG,3,2,soft,1,5,0,JT,actual time 11:59:26,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:36,44.7083758,-62.84136428,G0164227.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:46,44.70832249,-62.84133514,G0164228.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 11:59:56,44.70823377,-62.8413021,G0164229.JPG,3,1,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:06,44.7081546,-62.84126781,G0164230.JPG,3,1,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:16,44.70806096,-62.84121422,G0164231.JPG,3,2,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:26,44.70795332,-62.84115719,G0164232.JPG,3,1,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:36,44.70788391,-62.84104929,G0164233.JPG,3,2,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:46,44.70778118,-62.8410131,G0164234.JPG,3,3,soft,1,5,0,JT,Great images for comms in this sequence,Y
Kristina Boerder,Owls Head,10-08-2020 12:00:56,44.70767854,-62.840976,G0164235.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:06,44.70757417,-62.84092267,G0164236.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:16,44.70747307,-62.8409255,G0164237.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:26,44.70739685,-62.84092878,G0164238.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:36,44.70732242,-62.84089631,G0164239.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:46,44.7072383,-62.84087659,G0164240.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:01:56,44.707144,-62.84085351,G0164241.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:06,44.70705446,-62.84081977,G0164242.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:16,44.70695883,-62.84076364,G0164243.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:26,44.70687133,-62.84072146,G0164244.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:36,44.70676838,-62.84071116,G0164245.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:46,44.70668999,-62.8406788,G0164246.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:02:56,44.70659762,-62.84062134,G0164247.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:06,44.70649602,-62.84052347,G0164248.JPG,3,3,soft,1,4,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:16,44.70639508,-62.84046377,G0164249.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:26,44.70628977,-62.84043109,G0164250.JPG,3,3,soft,1,4,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:36,44.70624497,-62.84040907,G0164251.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:46,44.70616048,-62.84035381,G0164252.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:03:56,44.70608405,-62.84032101,G0164253.JPG,3,3,soft,1,4,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:06,44.70599035,-62.84029978,G0164254.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:16,44.70589185,-62.8402717,G0164255.JPG,3,3,soft,1,3,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:26,44.70578751,-62.84024534,G0164256.JPG,3,3,soft,1,2,0,JT,piece of kelp,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:36,44.70566651,-62.84020531,G0164257.JPG,3,3,soft,1,2,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:46,44.70555705,-62.84019918,G0164258.JPG,3,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:04:56,44.70544764,-62.84013677,G0164259.JPG,3,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:06,44.70535398,-62.84007783,G0164260.JPG,1,3,soft,1,NA,NA,JT,> 50% obstructed,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:16,44.7052447,-62.84001635,G0164261.JPG,3,3,mixed,1,2,1,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:26,44.70513149,-62.83998004,G0164262.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:36,44.70502515,-62.83991386,G0164263.JPG,3,3,soft,1,5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:46,44.70496156,-62.83988192,G0164264.JPG,3,3,soft,1,3,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:05:56,44.7048469,-62.8398394,G0164265.JPG,3,3,soft,1,3,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:06:06,44.70476156,-62.83979487,G0164266.JPG,3,3,soft,1,1,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:06:16,44.70466581,-62.83971703,G0164267.JPG,3,3,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:06:26,44.70453935,-62.83966015,G0164268.JPG,3,3,soft,0,0,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:06:36,44.70443757,-62.83961982,G0164269.JPG,3,3,soft,1,0.5,0,JT,,Y
Kristina Boerder,Owls Head,10-08-2020 12:06:46,44.70442185,-62.83960381,G0164270.JPG,3,3,mixed,0,0,1,JT,,Y
