"","occurrenceID","braun.blanquet","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"1","2020-07-17T09:28:57Z_EAC_Cole_Harbour_G0060213_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"2","2020-07-17T09:29:07Z_EAC_Cole_Harbour_G0060214_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"3","2020-07-17T09:29:17Z_EAC_Cole_Harbour_G0060215_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"4","2020-07-17T09:29:27Z_EAC_Cole_Harbour_G0060216_495077",1,"<5","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"5","2020-07-17T09:29:37Z_EAC_Cole_Harbour_G0060217_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"6","2020-07-17T09:29:47Z_EAC_Cole_Harbour_G0060218_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"7","2020-07-17T09:29:57Z_EAC_Cole_Harbour_G0060219_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"8","2020-07-17T09:30:07Z_EAC_Cole_Harbour_G0060220_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"9","2020-07-17T09:30:17Z_EAC_Cole_Harbour_G0060221_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"10","2020-07-17T09:30:28Z_EAC_Cole_Harbour_G0060222_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"11","2020-07-17T09:30:37Z_EAC_Cole_Harbour_G0060223_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"12","2020-07-17T09:30:47Z_EAC_Cole_Harbour_G0060224_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"13","2020-07-17T09:30:57Z_EAC_Cole_Harbour_G0060225_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"14","2020-07-17T09:31:07Z_EAC_Cole_Harbour_G0060226_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"15","2020-07-17T09:31:17Z_EAC_Cole_Harbour_G0060227_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"16","2020-07-17T09:31:27Z_EAC_Cole_Harbour_G0060228_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"17","2020-07-17T09:31:37Z_EAC_Cole_Harbour_G0060229_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"18","2020-07-17T09:31:47Z_EAC_Cole_Harbour_G0060230_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"19","2020-07-17T09:31:57Z_EAC_Cole_Harbour_G0060231_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"20","2020-07-17T09:32:07Z_EAC_Cole_Harbour_G0060232_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"21","2020-07-17T09:32:21Z_EAC_Cole_Harbour_G0060233_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"22","2020-07-17T09:32:27Z_EAC_Cole_Harbour_G0060234_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"23","2020-07-17T09:32:37Z_EAC_Cole_Harbour_G0060235_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"24","2020-07-17T09:32:47Z_EAC_Cole_Harbour_G0060236_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"25","2020-07-17T09:32:57Z_EAC_Cole_Harbour_G0060237_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"26","2020-07-17T09:33:07Z_EAC_Cole_Harbour_G0060238_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
