"","eventDate","eventID","decimalLatitude","decimalLongitude","location","image.filename","image.quality","est.cam.height","substrate","image.coder","notes","QC.review"
"1","2020-07-17T09:28:57Z","2020-07-17T09:28:57Z_EAC_Cole_Harbour_G0060213",44.65679388,-63.42011308,"Cole Harbour","G0060213",0,NA,NA,"A.O.","","A.D."
"2","2020-07-17T09:29:07Z","2020-07-17T09:29:07Z_EAC_Cole_Harbour_G0060214",44.65679422,-63.42026939,"Cole Harbour","G0060214",1,2,"Soft","A.O.","","A.D."
"3","2020-07-17T09:29:17Z","2020-07-17T09:29:17Z_EAC_Cole_Harbour_G0060215",44.65681357,-63.42042151,"Cole Harbour","G0060215",2,2,"Soft","A.O.","","A.D."
"4","2020-07-17T09:29:27Z","2020-07-17T09:29:27Z_EAC_Cole_Harbour_G0060216",44.65684508,-63.42055081,"Cole Harbour","G0060216",2,2,"Soft","A.O.","","A.D."
"5","2020-07-17T09:29:37Z","2020-07-17T09:29:37Z_EAC_Cole_Harbour_G0060217",44.6568793,-63.42070583,"Cole Harbour","G0060217",2,1,"Soft","A.O.","","A.D."
"6","2020-07-17T09:29:47Z","2020-07-17T09:29:47Z_EAC_Cole_Harbour_G0060218",44.65690294,-63.42083852,"Cole Harbour","G0060218",3,1,"Soft","A.O.","","A.D."
"7","2020-07-17T09:29:57Z","2020-07-17T09:29:57Z_EAC_Cole_Harbour_G0060219",44.65692607,-63.42091947,"Cole Harbour","G0060219",NA,NA,NA,"A.O.","","A.D."
"8","2020-07-17T09:30:07Z","2020-07-17T09:30:07Z_EAC_Cole_Harbour_G0060220",44.65694471,-63.42100877,"Cole Harbour","G0060220",NA,NA,NA,"A.O.","","A.D."
"9","2020-07-17T09:30:17Z","2020-07-17T09:30:17Z_EAC_Cole_Harbour_G0060221",44.657002,-63.42117582,"Cole Harbour","G0060221",3,2,"Soft","A.O.","","A.D."
"10","2020-07-17T09:30:28Z","2020-07-17T09:30:28Z_EAC_Cole_Harbour_G0060222",44.65704743,-63.42130779,"Cole Harbour","G0060222",3,1,"Soft","A.O.","Actual time of photo ""2020-07-17  6:30:27 AM""","A.D."
"11","2020-07-17T09:30:37Z","2020-07-17T09:30:37Z_EAC_Cole_Harbour_G0060223",44.65705806,-63.42140692,"Cole Harbour","G0060223",3,1,"Soft","A.O.","","A.D."
"12","2020-07-17T09:30:47Z","2020-07-17T09:30:47Z_EAC_Cole_Harbour_G0060224",44.65707847,-63.4214887,"Cole Harbour","G0060224",3,1,"Soft","A.O.","","A.D."
"13","2020-07-17T09:30:57Z","2020-07-17T09:30:57Z_EAC_Cole_Harbour_G0060225",44.65710417,-63.42156717,"Cole Harbour","G0060225",3,1,"Soft ","A.O.","","A.D."
"14","2020-07-17T09:31:07Z","2020-07-17T09:31:07Z_EAC_Cole_Harbour_G0060226",44.65712964,-63.42168215,"Cole Harbour","G0060226",3,1,"Soft","A.O.","","A.D."
"15","2020-07-17T09:31:17Z","2020-07-17T09:31:17Z_EAC_Cole_Harbour_G0060227",44.65715573,-63.42182069,"Cole Harbour","G0060227",3,1,"Soft","A.O.","","A.D."
"16","2020-07-17T09:31:27Z","2020-07-17T09:31:27Z_EAC_Cole_Harbour_G0060228",44.65716382,-63.42197371,"Cole Harbour","G0060228",1,1,"Soft","A.O.","","A.D."
"17","2020-07-17T09:31:37Z","2020-07-17T09:31:37Z_EAC_Cole_Harbour_G0060229",44.6571733,-63.422059,"Cole Harbour","G0060229",2,1,"Soft","A.O.","","A.D."
"18","2020-07-17T09:31:47Z","2020-07-17T09:31:47Z_EAC_Cole_Harbour_G0060230",44.65716215,-63.42214949,"Cole Harbour","G0060230",NA,NA,NA,"A.O.","","A.D."
"19","2020-07-17T09:31:57Z","2020-07-17T09:31:57Z_EAC_Cole_Harbour_G0060231",44.65714026,-63.42230552,"Cole Harbour","G0060231",2,2,"Soft","A.O.","","A.D."
"20","2020-07-17T09:32:07Z","2020-07-17T09:32:07Z_EAC_Cole_Harbour_G0060232",44.65711241,-63.42239992,"Cole Harbour","G0060232",3,2,"Soft","A.O.","","A.D."
"21","2020-07-17T09:32:21Z","2020-07-17T09:32:21Z_EAC_Cole_Harbour_G0060233",44.65730738,-63.42244509,"Cole Harbour","G0060233",3,2,"Soft","A.O.","Actual time of photo ""2020-07-17  6:32:17 AM""","A.D."
"22","2020-07-17T09:32:27Z","2020-07-17T09:32:27Z_EAC_Cole_Harbour_G0060234",44.65720405,-63.42255962,"Cole Harbour","G0060234",3,2,"Soft","A.O.","","A.D."
"23","2020-07-17T09:32:37Z","2020-07-17T09:32:37Z_EAC_Cole_Harbour_G0060235",44.65702915,-63.42273356,"Cole Harbour","G0060235",3,2,"Soft","A.O.","","A.D."
"24","2020-07-17T09:32:47Z","2020-07-17T09:32:47Z_EAC_Cole_Harbour_G0060236",44.65692809,-63.42278987,"Cole Harbour","G0060236",3,2,"Soft","A.O.","","A.D."
"25","2020-07-17T09:32:57Z","2020-07-17T09:32:57Z_EAC_Cole_Harbour_G0060237",44.65690791,-63.4228645,"Cole Harbour","G0060237",3,2,"Soft ","A.O.","","A.D."
"26","2020-07-17T09:33:07Z","2020-07-17T09:33:07Z_EAC_Cole_Harbour_G0060238",44.6568788,-63.42285617,"Cole Harbour","G0060238",3,2,"Soft","A.O.","","A.D."
"27","2020-07-17T09:33:17Z","2020-07-17T09:33:17Z_EAC_Cole_Harbour_G0060239",44.65687175,-63.42284555,"Cole Harbour","G0060239",3,1,"Soft ","A.O.","","A.D."
"28","2020-07-17T09:33:27Z","2020-07-17T09:33:27Z_EAC_Cole_Harbour_G0060240",44.65686564,-63.42283508,"Cole Harbour","G0060240",3,2,"Soft ","A.O.","","A.D."
"29","2020-07-17T09:33:37Z","2020-07-17T09:33:37Z_EAC_Cole_Harbour_G0060241",44.65684984,-63.42280638,"Cole Harbour","G0060241",3,3,"Soft ","A.O.","","A.D."
"30","2020-07-17T09:33:47Z","2020-07-17T09:33:47Z_EAC_Cole_Harbour_G0060242",44.65677702,-63.42275598,"Cole Harbour","G0060242",3,2,"Soft ","A.O.","","A.D."
"31","2020-07-17T09:33:57Z","2020-07-17T09:33:57Z_EAC_Cole_Harbour_G0060243",44.65669998,-63.42276211,"Cole Harbour","G0060243",3,1,"Soft ","A.O.","","A.D."
"32","2020-07-17T09:34:07Z","2020-07-17T09:34:07Z_EAC_Cole_Harbour_G0060244",44.65660579,-63.42279649,"Cole Harbour","G0060244",3,1,"Soft","A.O.","","A.D."
"33","2020-07-17T09:34:17Z","2020-07-17T09:34:17Z_EAC_Cole_Harbour_G0060245",44.65653351,-63.42288744,"Cole Harbour","G0060245",3,2,"Soft ","A.O.","","A.D."
"34","2020-07-17T09:34:27Z","2020-07-17T09:34:27Z_EAC_Cole_Harbour_G0060246",44.6564863,-63.42294566,"Cole Harbour","G0060246",3,1,"Soft ","A.O.","","A.D."
"35","2020-07-17T09:34:37Z","2020-07-17T09:34:37Z_EAC_Cole_Harbour_G0060247",44.65644312,-63.42301136,"Cole Harbour","G0060247",3,1,"Soft","A.O.","","A.D."
"36","2020-07-17T09:34:47Z","2020-07-17T09:34:47Z_EAC_Cole_Harbour_G0060248",44.65638133,-63.42308676,"Cole Harbour","G0060248",3,1,"Soft","A.O.","","A.D."
"37","2020-07-17T09:34:57Z","2020-07-17T09:34:57Z_EAC_Cole_Harbour_G0060249",44.65637007,-63.42308992,"Cole Harbour","G0060249",3,1,"Soft","A.O.","","A.D."
"38","2020-07-17T09:35:07Z","2020-07-17T09:35:07Z_EAC_Cole_Harbour_G0060250",44.65638057,-63.4232079,"Cole Harbour","G0060250",2,2,"Soft","A.O.","","A.D."
"39","2020-07-17T09:35:17Z","2020-07-17T09:35:17Z_EAC_Cole_Harbour_G0060251",44.65632513,-63.42337408,"Cole Harbour","G0060251",3,2,"Soft","A.O.","","A.D."
"40","2020-07-17T09:35:27Z","2020-07-17T09:35:27Z_EAC_Cole_Harbour_G0060252",44.65624924,-63.42347829,"Cole Harbour","G0060252",3,2,"Soft","A.O.","","A.D."
"41","2020-07-17T09:35:37Z","2020-07-17T09:35:37Z_EAC_Cole_Harbour_G0060253",44.6561733,-63.42356644,"Cole Harbour","G0060253",3,3,"Soft","A.O.","","A.D."
"42","2020-07-17T09:35:47Z","2020-07-17T09:35:47Z_EAC_Cole_Harbour_G0060254",44.65609336,-63.42362881,"Cole Harbour","G0060254",2,3,"Soft","A.O.","","A.D."
"43","2020-07-17T09:35:57Z","2020-07-17T09:35:57Z_EAC_Cole_Harbour_G0060255",44.65601811,-63.42368574,"Cole Harbour","G0060255",2,3,"Soft","A.O.","","A.D."
"44","2020-07-17T09:36:07Z","2020-07-17T09:36:07Z_EAC_Cole_Harbour_G0060256",44.65594231,-63.42373284,"Cole Harbour","G0060256",2,3,"Soft","A.O.","","A.D."
"45","2020-07-17T09:36:17Z","2020-07-17T09:36:17Z_EAC_Cole_Harbour_G0060257",44.65588781,-63.42376357,"Cole Harbour","G0060257",2,3,"Soft","A.O.","","A.D."
"46","2020-07-17T09:36:27Z","2020-07-17T09:36:27Z_EAC_Cole_Harbour_G0060258",44.65583679,-63.42379478,"Cole Harbour","G0060258",2,3,"Soft","A.O.","","A.D."
"47","2020-07-17T09:36:37Z","2020-07-17T09:36:37Z_EAC_Cole_Harbour_G0060259",44.65578968,-63.42381399,"Cole Harbour","G0060259",2,3,"Soft","A.O.","","A.D."
"48","2020-07-17T09:36:47Z","2020-07-17T09:36:47Z_EAC_Cole_Harbour_G0060260",44.65572701,-63.42384857,"Cole Harbour","G0060260",0,NA,NA,"A.O.","","A.D."
"49","2020-07-17T09:36:57Z","2020-07-17T09:36:57Z_EAC_Cole_Harbour_G0060261",44.65565348,-63.42399534,"Cole Harbour","G0060261",0,NA,NA,"A.O.","","A.D."
"50","2020-07-17T09:37:07Z","2020-07-17T09:37:07Z_EAC_Cole_Harbour_G0060262",44.65559186,-63.42417617,"Cole Harbour","G0060262",1,2,"Soft ","A.O.","","A.D."
"51","2020-07-17T09:37:17Z","2020-07-17T09:37:17Z_EAC_Cole_Harbour_G0060263",44.65553847,-63.42434283,"Cole Harbour","G0060263",2,2,"Soft ","A.O.","","A.D."
"52","2020-07-17T09:37:27Z","2020-07-17T09:37:27Z_EAC_Cole_Harbour_G0060264",44.65550011,-63.42455315,"Cole Harbour","G0060264",3,2,"Soft ","A.O.","","A.D."
"53","2020-07-17T09:37:37Z","2020-07-17T09:37:37Z_EAC_Cole_Harbour_G0060265",44.65547148,-63.42474543,"Cole Harbour","G0060265",3,2,"Soft ","A.O.","","A.D."
"54","2020-07-17T09:37:47Z","2020-07-17T09:37:47Z_EAC_Cole_Harbour_G0060266",44.65546861,-63.42492444,"Cole Harbour","G0060266",3,2,"Soft ","A.O.","","A.D."
"55","2020-07-17T09:37:57Z","2020-07-17T09:37:57Z_EAC_Cole_Harbour_G0060267",44.65546312,-63.42508071,"Cole Harbour","G0060267",3,2,"Soft ","A.O.","","A.D."
"56","2020-07-17T09:38:07Z","2020-07-17T09:38:07Z_EAC_Cole_Harbour_G0060268",44.65548774,-63.42522364,"Cole Harbour","G0060268",3,1,"Soft ","A.O.","","A.D."
"57","2020-07-17T09:38:17Z","2020-07-17T09:38:17Z_EAC_Cole_Harbour_G0060269",44.6555322,-63.42535525,"Cole Harbour","G0060269",3,1,"Soft ","A.O.","","A.D."
"58","2020-07-17T09:38:27Z","2020-07-17T09:38:27Z_EAC_Cole_Harbour_G0060270",44.65557833,-63.42542651,"Cole Harbour","G0060270",3,1,"Soft ","A.O.","","A.D."
"59","2020-07-17T09:38:37Z","2020-07-17T09:38:37Z_EAC_Cole_Harbour_G0060271",44.65565056,-63.42557294,"Cole Harbour","G0060271",3,1,"Soft ","A.O.","","A.D."
"60","2020-07-17T09:38:47Z","2020-07-17T09:38:47Z_EAC_Cole_Harbour_G0060272",44.65570337,-63.42573588,"Cole Harbour","G0060272",3,1,"Soft ","A.O.","","A.D."
