Project,SurveyArea,site_tag,date_ddmmyyyy,time_24_UTC,latitude,longitude,depth_m,Leptasterias.polaris,Buccinum.undatum,Boreochiton.ruber,Crossaster.papposus,Echinarachnius.parma,Leptasterias.littoralis,Metridium.senile,Strongylocentrotus.droebachiensis,Urticina.felina,Pteraster.militaris,Chionoecetes.opilio,Hippoglossoides.platessoides,Arctica.islandica,Cancer.irroratus,Halichondria.panacea,Heliometra.glacialis
PlacentiaBay,Rushoon,Rus03,14082019,134505,47.35724795,-54.68451196,64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus04,18082019,144448,47.35388957,-54.70389475,54,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus05,18082019,165032,47.35126298,-54.68664342,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus06,17082019,162358,47.36810692,-54.70274472,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus07,18082019,142947,47.35682105,-54.71410855,16,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus08,18082019,162321,47.34990646,-54.67908758,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus11,14082019,142505,47.360932,-54.6925569,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus12,15082019,164504,47.3221278,-54.70186099,78,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus13,15082019,162254,47.32835115,-54.69075513,78,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus15,18082019,173736,47.32924717,-54.68255946,55,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus18,17082019,190440,47.30980921,-54.70823811,93,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus20,15082019,151921,47.330454,-54.6920097,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus21,15082019,145301,47.32903363,-54.69466534,127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus22,15082019,135830,47.32687402,-54.70035786,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus25,15082019,181921,47.32505234,-54.73022436,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus27,15082019,172241,47.31968203,-54.70692071,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus30,15082019,142910,47.3250916,-54.69814261,91,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PlacentiaBay,Rushoon,Rus33,18082019,132056,47.33735179,-54.70429347,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus34,15082019,175102,47.31552317,-54.70704774,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus35,14082019,133250,47.35664304,-54.67314586,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus36,14082019,163230,47.36449832,-54.7077356,61,1,1,2,0,0,0,0,9,0,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus37,18082019,112850,47.33525281,-54.75770428,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus39,14082019,140610,47.3625144,-54.68467972,42,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus40,18082019,121928,47.33936654,-54.72787035,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus41,17082019,182553,47.32694243,-54.68575794,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus45,17082019,170129,47.34693811,-54.66184208,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus46,18082019,155351,47.3619583,-54.67238292,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus47,17082019,173154,47.3329435,-54.67843089,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus48,18082019,153840,47.37155485,-54.67348934,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus50,18082019,184417,47.33930979,-54.6808929,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus53,17082019,184631,47.30854904,-54.69983827,18,0,0,0,0,214,0,0,271,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus54,15082019,113701,47.32666451,-54.71178945,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus56,14082019,155700,47.37491323,-54.70547893,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus60,14082019,130100,47.35242691,-54.64788036,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab01,11072019,113953,47.28887859,-54.98628353,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab02,10072019,142702,47.27961162,-54.98936373,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
